ID,Title,Series,Year,Medium,Width,Height,Orientation,Price,Availability,Tags,Description,CoverImage,Image2,Image3,Image4,Image5
"A016","Room with Two Chairs 4","Threshold Light","2024","Oil on linen","24","52","Portrait","3010","Available","architecture|memory|light|studio|threshold-light","A layered contemporary artwork from the Threshold Light series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Threshold Light/Room with Two Chairs 4/main.jpg","images/series/Threshold Light/Room with Two Chairs 4/detail1.jpg","images/series/Threshold Light/Room with Two Chairs 4/detail2.jpg","images/series/Threshold Light/Room with Two Chairs 4/detail3.jpg","images/series/Threshold Light/Room with Two Chairs 4/detail4.jpg"
"A017","Pale Stair 4","Weather Rooms","2025","Acrylic and graphite on panel","27","57","Portrait","3145","Available","architecture|memory|light|studio|weather-rooms","A layered contemporary artwork from the Weather Rooms series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Weather Rooms/Pale Stair 4/main.jpg","images/series/Weather Rooms/Pale Stair 4/detail1.jpg","images/series/Weather Rooms/Pale Stair 4/detail2.jpg","images/series/Weather Rooms/Pale Stair 4/detail3.jpg","images/series/Weather Rooms/Pale Stair 4/detail4.jpg"
"A018","Late Facade 4","Quiet Streets","2026","Watercolor on cotton paper","30","62","Portrait","3280","Available","architecture|memory|light|studio|quiet-streets","A layered contemporary artwork from the Quiet Streets series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Quiet Streets/Late Facade 4/main.jpg","images/series/Quiet Streets/Late Facade 4/detail1.jpg","images/series/Quiet Streets/Late Facade 4/detail2.jpg","images/series/Quiet Streets/Late Facade 4/detail3.jpg","images/series/Quiet Streets/Late Facade 4/detail4.jpg"
"A019","Borrowed Light 4","Paper Architecture","2021","Mixed media on canvas","33","67","Portrait","3415","Available","architecture|memory|light|studio|paper-architecture","A layered contemporary artwork from the Paper Architecture series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Paper Architecture/Borrowed Light 4/main.jpg","images/series/Paper Architecture/Borrowed Light 4/detail1.jpg","images/series/Paper Architecture/Borrowed Light 4/detail2.jpg","images/series/Paper Architecture/Borrowed Light 4/detail3.jpg","images/series/Paper Architecture/Borrowed Light 4/detail4.jpg"
"A020","Quiet Corner 4","Night Garden","2022","Ink and gouache on paper","36","24","Landscape","3550","Reserved","architecture|memory|light|studio|night-garden","A layered contemporary artwork from the Night Garden series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Night Garden/Quiet Corner 4/main.jpg","images/series/Night Garden/Quiet Corner 4/detail1.jpg","images/series/Night Garden/Quiet Corner 4/detail2.jpg","images/series/Night Garden/Quiet Corner 4/detail3.jpg","images/series/Night Garden/Quiet Corner 4/detail4.jpg"
"A021","Small Weather 5","Threshold Light","2023","Oil on linen","39","29","Landscape","3685","Sold","architecture|memory|light|studio|threshold-light","A layered contemporary artwork from the Threshold Light series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Threshold Light/Small Weather 5/main.jpg","images/series/Threshold Light/Small Weather 5/detail1.jpg","images/series/Threshold Light/Small Weather 5/detail2.jpg","images/series/Threshold Light/Small Weather 5/detail3.jpg","images/series/Threshold Light/Small Weather 5/detail4.jpg"
"A022","Open Threshold 5","Weather Rooms","2024","Acrylic and graphite on panel","42","34","Landscape","3820","Available","architecture|memory|light|studio|weather-rooms","A layered contemporary artwork from the Weather Rooms series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Weather Rooms/Open Threshold 5/main.jpg","images/series/Weather Rooms/Open Threshold 5/detail1.jpg","images/series/Weather Rooms/Open Threshold 5/detail2.jpg","images/series/Weather Rooms/Open Threshold 5/detail3.jpg","images/series/Weather Rooms/Open Threshold 5/detail4.jpg"
"A023","Soft Map 5","Quiet Streets","2025","Watercolor on cotton paper","45","39","Landscape","3955","Available","architecture|memory|light|studio|quiet-streets","A layered contemporary artwork from the Quiet Streets series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Quiet Streets/Soft Map 5/main.jpg","images/series/Quiet Streets/Soft Map 5/detail1.jpg","images/series/Quiet Streets/Soft Map 5/detail2.jpg","images/series/Quiet Streets/Soft Map 5/detail3.jpg","images/series/Quiet Streets/Soft Map 5/detail4.jpg"
"A024","Garden Wall 5","Paper Architecture","2026","Mixed media on canvas","48","44","Landscape","4090","Available","architecture|memory|light|studio|paper-architecture","A layered contemporary artwork from the Paper Architecture series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Paper Architecture/Garden Wall 5/main.jpg","images/series/Paper Architecture/Garden Wall 5/detail1.jpg","images/series/Paper Architecture/Garden Wall 5/detail2.jpg","images/series/Paper Architecture/Garden Wall 5/detail3.jpg","images/series/Paper Architecture/Garden Wall 5/detail4.jpg"
"A025","After the Rain 5","Night Garden","2021","Ink and gouache on paper","51","49","Landscape","4225","Reserved","architecture|memory|light|studio|night-garden","A layered contemporary artwork from the Night Garden series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Night Garden/After the Rain 5/main.jpg","images/series/Night Garden/After the Rain 5/detail1.jpg","images/series/Night Garden/After the Rain 5/detail2.jpg","images/series/Night Garden/After the Rain 5/detail3.jpg","images/series/Night Garden/After the Rain 5/detail4.jpg"
"A026","North Window 6","Threshold Light","2022","Oil on linen","54","54","Square","4360","Available","architecture|memory|light|studio|threshold-light","A layered contemporary artwork from the Threshold Light series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Threshold Light/North Window 6/main.jpg","images/series/Threshold Light/North Window 6/detail1.jpg","images/series/Threshold Light/North Window 6/detail2.jpg","images/series/Threshold Light/North Window 6/detail3.jpg","images/series/Threshold Light/North Window 6/detail4.jpg"
"A027","Blue Landing 6","Weather Rooms","2023","Acrylic and graphite on panel","57","59","Portrait","4495","Available","architecture|memory|light|studio|weather-rooms","A layered contemporary artwork from the Weather Rooms series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Weather Rooms/Blue Landing 6/main.jpg","images/series/Weather Rooms/Blue Landing 6/detail1.jpg","images/series/Weather Rooms/Blue Landing 6/detail2.jpg","images/series/Weather Rooms/Blue Landing 6/detail3.jpg","images/series/Weather Rooms/Blue Landing 6/detail4.jpg"
"A028","Room with Two Chairs 6","Quiet Streets","2024","Watercolor on cotton paper","18","64","Portrait","4630","Sold","architecture|memory|light|studio|quiet-streets","A layered contemporary artwork from the Quiet Streets series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Quiet Streets/Room with Two Chairs 6/main.jpg","images/series/Quiet Streets/Room with Two Chairs 6/detail1.jpg","images/series/Quiet Streets/Room with Two Chairs 6/detail2.jpg","images/series/Quiet Streets/Room with Two Chairs 6/detail3.jpg","images/series/Quiet Streets/Room with Two Chairs 6/detail4.jpg"
"A029","Pale Stair 6","Paper Architecture","2025","Mixed media on canvas","21","21","Square","4765","Available","architecture|memory|light|studio|paper-architecture","A layered contemporary artwork from the Paper Architecture series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Paper Architecture/Pale Stair 6/main.jpg","images/series/Paper Architecture/Pale Stair 6/detail1.jpg","images/series/Paper Architecture/Pale Stair 6/detail2.jpg","images/series/Paper Architecture/Pale Stair 6/detail3.jpg","images/series/Paper Architecture/Pale Stair 6/detail4.jpg"
"A030","Late Facade 6","Night Garden","2026","Ink and gouache on paper","24","26","Portrait","4900","Reserved","architecture|memory|light|studio|night-garden","A layered contemporary artwork from the Night Garden series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Night Garden/Late Facade 6/main.jpg","images/series/Night Garden/Late Facade 6/detail1.jpg","images/series/Night Garden/Late Facade 6/detail2.jpg","images/series/Night Garden/Late Facade 6/detail3.jpg","images/series/Night Garden/Late Facade 6/detail4.jpg"
"A031","Borrowed Light 7","Threshold Light","2021","Oil on linen","27","31","Portrait","5035","Available","architecture|memory|light|studio|threshold-light","A layered contemporary artwork from the Threshold Light series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Threshold Light/Borrowed Light 7/main.jpg","images/series/Threshold Light/Borrowed Light 7/detail1.jpg","images/series/Threshold Light/Borrowed Light 7/detail2.jpg","images/series/Threshold Light/Borrowed Light 7/detail3.jpg","images/series/Threshold Light/Borrowed Light 7/detail4.jpg"
"A032","Quiet Corner 7","Weather Rooms","2022","Acrylic and graphite on panel","30","36","Portrait","5170","Available","architecture|memory|light|studio|weather-rooms","A layered contemporary artwork from the Weather Rooms series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Weather Rooms/Quiet Corner 7/main.jpg","images/series/Weather Rooms/Quiet Corner 7/detail1.jpg","images/series/Weather Rooms/Quiet Corner 7/detail2.jpg","images/series/Weather Rooms/Quiet Corner 7/detail3.jpg","images/series/Weather Rooms/Quiet Corner 7/detail4.jpg"
"A033","Small Weather 7","Quiet Streets","2023","Watercolor on cotton paper","33","41","Portrait","5305","Available","architecture|memory|light|studio|quiet-streets","A layered contemporary artwork from the Quiet Streets series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Quiet Streets/Small Weather 7/main.jpg","images/series/Quiet Streets/Small Weather 7/detail1.jpg","images/series/Quiet Streets/Small Weather 7/detail2.jpg","images/series/Quiet Streets/Small Weather 7/detail3.jpg","images/series/Quiet Streets/Small Weather 7/detail4.jpg"
"A034","Open Threshold 7","Paper Architecture","2024","Mixed media on canvas","36","46","Portrait","5440","Available","architecture|memory|light|studio|paper-architecture","A layered contemporary artwork from the Paper Architecture series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Paper Architecture/Open Threshold 7/main.jpg","images/series/Paper Architecture/Open Threshold 7/detail1.jpg","images/series/Paper Architecture/Open Threshold 7/detail2.jpg","images/series/Paper Architecture/Open Threshold 7/detail3.jpg","images/series/Paper Architecture/Open Threshold 7/detail4.jpg"
"A035","Soft Map 7","Night Garden","2025","Ink and gouache on paper","39","51","Portrait","5575","Sold","architecture|memory|light|studio|night-garden","A layered contemporary artwork from the Night Garden series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Night Garden/Soft Map 7/main.jpg","images/series/Night Garden/Soft Map 7/detail1.jpg","images/series/Night Garden/Soft Map 7/detail2.jpg","images/series/Night Garden/Soft Map 7/detail3.jpg","images/series/Night Garden/Soft Map 7/detail4.jpg"
"A036","Garden Wall 8","Threshold Light","2026","Oil on linen","42","56","Portrait","5710","Available","architecture|memory|light|studio|threshold-light","A layered contemporary artwork from the Threshold Light series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Threshold Light/Garden Wall 8/main.jpg","images/series/Threshold Light/Garden Wall 8/detail1.jpg","images/series/Threshold Light/Garden Wall 8/detail2.jpg","images/series/Threshold Light/Garden Wall 8/detail3.jpg","images/series/Threshold Light/Garden Wall 8/detail4.jpg"
"A037","After the Rain 8","Weather Rooms","2021","Acrylic and graphite on panel","45","61","Portrait","5845","Available","architecture|memory|light|studio|weather-rooms","A layered contemporary artwork from the Weather Rooms series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Weather Rooms/After the Rain 8/main.jpg","images/series/Weather Rooms/After the Rain 8/detail1.jpg","images/series/Weather Rooms/After the Rain 8/detail2.jpg","images/series/Weather Rooms/After the Rain 8/detail3.jpg","images/series/Weather Rooms/After the Rain 8/detail4.jpg"
"A038","North Window 8","Quiet Streets","2022","Watercolor on cotton paper","48","66","Portrait","5980","Available","architecture|memory|light|studio|quiet-streets","A layered contemporary artwork from the Quiet Streets series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Quiet Streets/North Window 8/main.jpg","images/series/Quiet Streets/North Window 8/detail1.jpg","images/series/Quiet Streets/North Window 8/detail2.jpg","images/series/Quiet Streets/North Window 8/detail3.jpg","images/series/Quiet Streets/North Window 8/detail4.jpg"
"A039","Blue Landing 8","Paper Architecture","2023","Mixed media on canvas","51","23","Landscape","6115","Available","architecture|memory|light|studio|paper-architecture","A layered contemporary artwork from the Paper Architecture series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Paper Architecture/Blue Landing 8/main.jpg","images/series/Paper Architecture/Blue Landing 8/detail1.jpg","images/series/Paper Architecture/Blue Landing 8/detail2.jpg","images/series/Paper Architecture/Blue Landing 8/detail3.jpg","images/series/Paper Architecture/Blue Landing 8/detail4.jpg"
"A040","Room with Two Chairs 8","Night Garden","2024","Ink and gouache on paper","54","28","Landscape","6250","Reserved","architecture|memory|light|studio|night-garden","A layered contemporary artwork from the Night Garden series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Night Garden/Room with Two Chairs 8/main.jpg","images/series/Night Garden/Room with Two Chairs 8/detail1.jpg","images/series/Night Garden/Room with Two Chairs 8/detail2.jpg","images/series/Night Garden/Room with Two Chairs 8/detail3.jpg","images/series/Night Garden/Room with Two Chairs 8/detail4.jpg"
"A041","Pale Stair 9","Threshold Light","2025","Oil on linen","57","33","Landscape","6385","Available","architecture|memory|light|studio|threshold-light","A layered contemporary artwork from the Threshold Light series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Threshold Light/Pale Stair 9/main.jpg","images/series/Threshold Light/Pale Stair 9/detail1.jpg","images/series/Threshold Light/Pale Stair 9/detail2.jpg","images/series/Threshold Light/Pale Stair 9/detail3.jpg","images/series/Threshold Light/Pale Stair 9/detail4.jpg"
"A042","Late Facade 9","Weather Rooms","2026","Acrylic and graphite on panel","18","38","Portrait","6520","Sold","architecture|memory|light|studio|weather-rooms","A layered contemporary artwork from the Weather Rooms series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Weather Rooms/Late Facade 9/main.jpg","images/series/Weather Rooms/Late Facade 9/detail1.jpg","images/series/Weather Rooms/Late Facade 9/detail2.jpg","images/series/Weather Rooms/Late Facade 9/detail3.jpg","images/series/Weather Rooms/Late Facade 9/detail4.jpg"
"A043","Borrowed Light 9","Quiet Streets","2021","Watercolor on cotton paper","21","43","Portrait","6655","Available","architecture|memory|light|studio|quiet-streets","A layered contemporary artwork from the Quiet Streets series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Quiet Streets/Borrowed Light 9/main.jpg","images/series/Quiet Streets/Borrowed Light 9/detail1.jpg","images/series/Quiet Streets/Borrowed Light 9/detail2.jpg","images/series/Quiet Streets/Borrowed Light 9/detail3.jpg","images/series/Quiet Streets/Borrowed Light 9/detail4.jpg"
"A044","Quiet Corner 9","Paper Architecture","2022","Mixed media on canvas","24","48","Portrait","6790","Available","architecture|memory|light|studio|paper-architecture","A layered contemporary artwork from the Paper Architecture series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Paper Architecture/Quiet Corner 9/main.jpg","images/series/Paper Architecture/Quiet Corner 9/detail1.jpg","images/series/Paper Architecture/Quiet Corner 9/detail2.jpg","images/series/Paper Architecture/Quiet Corner 9/detail3.jpg","images/series/Paper Architecture/Quiet Corner 9/detail4.jpg"
"A045","Small Weather 9","Night Garden","2023","Ink and gouache on paper","27","53","Portrait","6925","Reserved","architecture|memory|light|studio|night-garden","A layered contemporary artwork from the Night Garden series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Night Garden/Small Weather 9/main.jpg","images/series/Night Garden/Small Weather 9/detail1.jpg","images/series/Night Garden/Small Weather 9/detail2.jpg","images/series/Night Garden/Small Weather 9/detail3.jpg","images/series/Night Garden/Small Weather 9/detail4.jpg"
"A046","Open Threshold 10","Threshold Light","2024","Oil on linen","30","58","Portrait","7060","Available","architecture|memory|light|studio|threshold-light","A layered contemporary artwork from the Threshold Light series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Threshold Light/Open Threshold 10/main.jpg","images/series/Threshold Light/Open Threshold 10/detail1.jpg","images/series/Threshold Light/Open Threshold 10/detail2.jpg","images/series/Threshold Light/Open Threshold 10/detail3.jpg","images/series/Threshold Light/Open Threshold 10/detail4.jpg"
"A047","Soft Map 10","Weather Rooms","2025","Acrylic and graphite on panel","33","63","Portrait","7195","Available","architecture|memory|light|studio|weather-rooms","A layered contemporary artwork from the Weather Rooms series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Weather Rooms/Soft Map 10/main.jpg","images/series/Weather Rooms/Soft Map 10/detail1.jpg","images/series/Weather Rooms/Soft Map 10/detail2.jpg","images/series/Weather Rooms/Soft Map 10/detail3.jpg","images/series/Weather Rooms/Soft Map 10/detail4.jpg"
"A048","Garden Wall 10","Quiet Streets","2026","Watercolor on cotton paper","36","20","Landscape","7330","Available","architecture|memory|light|studio|quiet-streets","A layered contemporary artwork from the Quiet Streets series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Quiet Streets/Garden Wall 10/main.jpg","images/series/Quiet Streets/Garden Wall 10/detail1.jpg","images/series/Quiet Streets/Garden Wall 10/detail2.jpg","images/series/Quiet Streets/Garden Wall 10/detail3.jpg","images/series/Quiet Streets/Garden Wall 10/detail4.jpg"
"A049","After the Rain 10","Paper Architecture","2021","Mixed media on canvas","39","25","Landscape","7465","Sold","architecture|memory|light|studio|paper-architecture","A layered contemporary artwork from the Paper Architecture series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Paper Architecture/After the Rain 10/main.jpg","images/series/Paper Architecture/After the Rain 10/detail1.jpg","images/series/Paper Architecture/After the Rain 10/detail2.jpg","images/series/Paper Architecture/After the Rain 10/detail3.jpg","images/series/Paper Architecture/After the Rain 10/detail4.jpg"
"A050","North Window 10","Night Garden","2022","Ink and gouache on paper","42","30","Landscape","7600","Reserved","architecture|memory|light|studio|night-garden","A layered contemporary artwork from the Night Garden series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Night Garden/North Window 10/main.jpg","images/series/Night Garden/North Window 10/detail1.jpg","images/series/Night Garden/North Window 10/detail2.jpg","images/series/Night Garden/North Window 10/detail3.jpg","images/series/Night Garden/North Window 10/detail4.jpg"
"A051","Blue Landing 11","Threshold Light","2023","Oil on linen","45","35","Landscape","7735","Available","architecture|memory|light|studio|threshold-light","A layered contemporary artwork from the Threshold Light series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Threshold Light/Blue Landing 11/main.jpg","images/series/Threshold Light/Blue Landing 11/detail1.jpg","images/series/Threshold Light/Blue Landing 11/detail2.jpg","images/series/Threshold Light/Blue Landing 11/detail3.jpg","images/series/Threshold Light/Blue Landing 11/detail4.jpg"
"A052","Room with Two Chairs 11","Weather Rooms","2024","Acrylic and graphite on panel","48","40","Landscape","7870","Available","architecture|memory|light|studio|weather-rooms","A layered contemporary artwork from the Weather Rooms series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Weather Rooms/Room with Two Chairs 11/main.jpg","images/series/Weather Rooms/Room with Two Chairs 11/detail1.jpg","images/series/Weather Rooms/Room with Two Chairs 11/detail2.jpg","images/series/Weather Rooms/Room with Two Chairs 11/detail3.jpg","images/series/Weather Rooms/Room with Two Chairs 11/detail4.jpg"
"A053","Pale Stair 11","Quiet Streets","2025","Watercolor on cotton paper","51","45","Landscape","8005","Available","architecture|memory|light|studio|quiet-streets","A layered contemporary artwork from the Quiet Streets series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Quiet Streets/Pale Stair 11/main.jpg","images/series/Quiet Streets/Pale Stair 11/detail1.jpg","images/series/Quiet Streets/Pale Stair 11/detail2.jpg","images/series/Quiet Streets/Pale Stair 11/detail3.jpg","images/series/Quiet Streets/Pale Stair 11/detail4.jpg"
